service_id,date,exception_type
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260729,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261019,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260709,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261021,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260814,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260802,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20261025,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260920,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260702,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260820,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260717,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260721,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260922,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260923,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261012,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260822,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260716,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260718,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260919,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260722,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260921,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260925,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260916,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260801,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260904,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260703,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260909,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260816,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260714,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260705,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260915,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261016,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260804,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261020,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20260823,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260715,1
c8cd4591-2afc-496e-95ce-fcfd835481fb,20261003,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260728,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260811,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260826,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260708,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260928,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260807,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20261002,1
c9e36fd8-1c0a-4d96-b2bf-cbfa8f0d0788,20260730,1
