shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
57c05cab-d8c5-43f8-8d8f-9ecfcba3dbb3,42.2931440051284,-71.4604950821695,40,11020.94
1ba4b168-ece7-49bc-9db3-73ad54e3bbf8,42.3523121984191,-71.5307019073189,65,17269.94
055c56fc-9140-4b97-835b-abc9145f2aa4,42.1420712555689,-71.515799553144,34,6120.96
695762db-d0d4-4ddc-a7ae-10275473090c,42.3593301987249,-71.5520496101409,14,1958.44
57c05cab-d8c5-43f8-8d8f-9ecfcba3dbb3,42.2966711101932,-71.4372336231013,43,13523.51
d89454d2-59b8-475d-8724-4381e121ba00,42.1567630563237,-71.4933950599071,128,30220.4
161f0f86-97f5-4dfd-a54b-3ec09e77872a,42.2999621808506,-71.5013746322021,20,7924.26
23d5cef6-e518-4901-93a5-1d112c5caad9,42.3498539537104,-71.5056594613588,2,211.9
ae46a06e-02d7-4228-8adf-b324f50d6a00,42.2722120447285,-71.4289509611696,9,2121.1
30a9a51f-025f-476a-a501-9cda88fadee8,42.2846574952994,-71.4213375104271,8,1234.24
d89454d2-59b8-475d-8724-4381e121ba00,42.3455208447886,-71.5504577189957,36,6124.25
161f0f86-97f5-4dfd-a54b-3ec09e77872a,42.3468726782127,-71.5458376136921,0,0
2a01e672-f3f1-4e63-b448-bcb1e805c3d3,42.346585681831,-71.5507259399132,5,602.5
4bd751f8-b639-4098-a1fc-a01bcb0ba4e9,42.270178930174,-71.4193003725588,36,8083.95
ac1d4bc6-98b7-4fa7-b20d-2deea94683e3,42.4366502426058,-71.453895506495,26,3180.7
4ce23383-aa10-4737-9d8e-d1bb1d06920c,42.3465655652622,-71.5542221995724,6,934.99
7eb551b3-dcec-4a29-a093-cdf9d4830090,42.3014669001977,-71.3863507739515,52,6910.44
2a01e672-f3f1-4e63-b448-bcb1e805c3d3,42.3390446507361,-71.5886362843893,31,8237.64
d47c2a5a-3fe8-4a30-830f-690bbe96c7b4,42.2973872600429,-71.4861517540307,19,9002.23
e6097e76-5b3e-4d62-a4a9-945e230f237b,42.3456616607703,-71.5600197947037,114,21813.24
fd4c1dc1-3c32-4573-be8a-3a9651c6107f,42.3436996247589,-71.5576017831326,68,22480.05
9ae8aeb0-d10f-4fe2-afd8-f2dcfac6ab6c,42.355019888581,-71.5542114707358,39,12995.61
161f0f86-97f5-4dfd-a54b-3ec09e77872a,42.287444310632,-71.4258208230627,42,16645.6
9f785c31-f3cc-45df-ad8d-08d9418e3073,42.121490664571,-71.5137087710922,27,5914.13
b44b7738-7ce5-4d95-8081-9b6f1f76665a,42.2934055205229,-71.4598768329547,5,850.1
b33a3d09-539e-4afa-a893-a3de7cac00ed,42.2407765532003,-71.4325330515226,22,5888.18
161f0f86-97f5-4dfd-a54b-3ec09e77872a,42.2941458102551,-71.4637351908526,31,12089.94
012d6ffc-b612-493c-a374-88234b7fe5f5,42.3044656100551,-71.5151142486998,16,7127.24
1ba4b168-ece7-49bc-9db3-73ad54e3bbf8,42.3454148975262,-71.5513388247096,49,14512.13
dfc8cf0c-de43-47ea-9ed6-b7d8430eab32,42.29811145652,-71.440036531689,43,17249.27
57c05cab-d8c5-43f8-8d8f-9ecfcba3dbb3,42.2969607887841,-71.4868558339391,34,8724.91
ab5deaba-93a4-4680-9cf5-808df07f2607,42.3044521990092,-71.5184978555738,43,16626.05
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.3153754958734,-71.5654660204331,10,4036.14
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3138452955392,-71.5738076909666,41,6470.57
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.314593631899,-71.5630466677574,11,4253.09
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2746716305418,-71.4397844040265,46,20836.43
7903a5c3-a394-4988-98b4-6f3f4c5ccd69,42.2626566745434,-71.480485587149,29,16381.43
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3208874357276,-71.5791358994922,38,5362.27
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3351071676676,-71.5921325440486,18,1056.84
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3155967781303,-71.5654378572367,44,7195.94
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3133329935868,-71.5654754081652,47,7680.68
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3378470443396,-71.5899572724078,1,59.09
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2760422394301,-71.4305307823736,50,21617.25
7903a5c3-a394-4988-98b4-6f3f4c5ccd69,42.275902764553,-71.4281516628356,48,21830.17
a2fac56d-750e-44a1-835c-e5ece22b4aa8,42.3381957315323,-71.5892679446499,5,272.88
f4cb018e-cda2-419a-a98d-ab90e844dcc9,42.2608689821284,-71.4537171395849,39,18725.4
3b5f0679-5280-40e8-914b-62acba2092d8,42.315376836978,-71.5778578268205,20,3760.34
3b5f0679-5280-40e8-914b-62acba2092d8,42.3169687281232,-71.5804421353604,19,3483.97
dc75feae-3e40-4fb9-98b1-32d25959fe8d,42.3024499298602,-71.3849761417494,36,5770.68
dfc8cf0c-de43-47ea-9ed6-b7d8430eab32,42.3002920925791,-71.4856850496343,28,12146.94
b4ccc300-ae7b-45c9-91ad-79e50bd98bd6,42.2848760953472,-71.3749339505991,15,10768.41
1c130b25-ee37-4058-b9cb-a955999e4e80,42.308639127531,-71.383972995518,71,19313.11
b968a9c3-0fd4-4fc8-9c03-c3ab0fe551a0,42.1831036915245,-71.4444393780494,26,9877.35
d89454d2-59b8-475d-8724-4381e121ba00,42.2196568381582,-71.5178581486856,103,22029.01
30a9a51f-025f-476a-a501-9cda88fadee8,42.2851805260885,-71.4216902209336,136,22878.12
ac1d4bc6-98b7-4fa7-b20d-2deea94683e3,42.3912484879046,-71.5653319099743,87,16183.68
3095b873-eb06-438b-a330-1338c12a12ae,42.2834732999488,-71.3675256888584,8,4238.23
7a6353fd-f5b7-4b08-b02a-4c000e3abf9f,42.2758746013567,-71.411843831053,7,1544
7eb551b3-dcec-4a29-a093-cdf9d4830090,42.2817674149136,-71.4152904698426,89,13342.63
afc65aea-c4e8-4c68-ab68-956699da953a,42.27655464,-71.41777396,7,1076.64
fb476a4a-c0d7-413f-9c4a-799a1b2d4dd6,42.2990381597899,-71.387096428102,8,891.47
b9968507-53ab-453c-bd4c-59b515649f1d,42.3527829261293,-71.5562016699434,42,13375.86
004980e6-9f4c-4b6d-ba69-2c51b2ea17f2,42.1423743452057,-71.5186413537646,41,20799.83
57c05cab-d8c5-43f8-8d8f-9ecfcba3dbb3,42.277752147779,-71.409311825592,60,17675.84
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3112851268819,-71.2639722981436,21,3949.17
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3182186375987,-71.2662696103018,15,2778.18
2b823661-7fbc-45bc-aac0-a7fed254ae27,42.2095972126482,-71.4272786037492,24,9167.8
636e5ba5-1fdd-459c-82bb-59f2aead5ecf,42.3003001392067,-71.2750525042446,47,7474.61
e878f995-434e-4d2c-907f-09935bb474c7,42.2939151402661,-71.4691559355948,6,1681.69
f2e38f84-2a97-4d6c-9d9a-182cd2927222,42.2936174150477,-71.469366489015,0,0
387741ec-af5f-4a7b-9b82-820060cdce6f,42.2942758974001,-71.4644969382582,22,7059.97
e878f995-434e-4d2c-907f-09935bb474c7,42.2936174150477,-71.469366489015,7,1719.03
402fe3ba-d292-4403-bc24-833e5ba04561,42.2997408985937,-71.3596011018515,9,6651.82
e2961827-77cf-4cf6-bafb-7d0da257ec97,42.298478919177,-71.3707094711488,24,8866.96
23be88fa-b8dd-4094-bb1d-0092c0557a1c,42.281896160954,-71.4206092906361,13,2002.28
02771dac-1a3f-4a82-a387-5d517b4b4a7f,42.3004892349535,-71.482013105274,8,2725.94
ac1d4bc6-98b7-4fa7-b20d-2deea94683e3,42.454740402385,-71.4546009275079,11,1087.04
3eae3196-8fdf-4760-8a66-21b48a13f1dc,42.2777280078964,-71.4199052107278,1,208.07
